name,alexa_rank,city,state,country,hq,website,employees_on_linkedin,followers,founded,industry,linkedin_url,overview,ownership_type,sic_codes,size,specialties,total_funding,technologies,company_hubs,events,categories,type
LBBW Venture Capital,,Stuttgart,Baden-Württemberg,Germany,"Stuttgart, Baden-Württemberg",http://www.lbbwvc.de,8,519,1998,Venture Capital & Private Equity,https://www.linkedin.com/company/lbbw-venture-capital-gmbh,"LBBW Venture invests in brilliant entrepreneurs raising a late seed, Series A or Series B round within the DACH region. We focus on start ups within the following three themes: 1. Deep/B2B/EnterpriseTech, 2. FinTech and 3. Life Science / HealthTech. Initial tickets amount to 0.5 to 5M Euros. We provide growth support through e.g. the large network of LBBW enterprise clients as well as direct business opportunities for core Fintechs.",Public Company,,2-10 employees,"Healthcare, Life Science, , Software, Fintech, Deeptech",0,,,,"Artificial Intelligence, Health Diagnostics, Financial Services, Big Data, Health Care, Industrial, SaaS, Life Science, , Machine Learning",B2B
Omdex,,Tehran,Tehran Province,Iran,tehran,http://omdex.ir,8,39,2016,Internet,https://www.linkedin.com/company/omdex,"OMDEX is a platform for wholesale trade serving buyers and suppliers around Iran, as a platform we continue to develop services to help businesses do more and discover opportunities.
our mission is to help Iranian SME manufacturers to do business as easy as possible by giving them the tool to reach more audience for their products and help buyers find products and suppliers quickly and efficiently.

 VALUES 
champion small  businesses.
grow SME & compete more efficiently in economics.
facilitate wholesale buying.
make it easy to do business everywhere.",Privately Held,,11-50 employees,,100000,WordPress,,,"Marketplace, E-Commerce,",B2B
Melfast,,,,United States,United States,http://www.melfast.com,8,47,1985,Wholesale,https://www.linkedin.com/company/melfast-inc.,"Melfast is a full line distributor of bolts, nuts and screws both in inch and metric.  All grades of steel, stainless, brass, bronze, aluminum and exotics are available.  Specials are welcome from 1 pc prototypes to production runs.  Servicing the OEM community since August 5, 1985.",Privately Held,5072,11-50 employees,specialty fasteners and made to print,0,"HubSpot, Magento",,,"Enterprise Software, Lighting, , Hardware",B2B
SCM messe event marketing,,Marburg,Hessen,Germany,"Marburg, Hessen",http://scm.de,2,28,2004,Events Services,https://www.linkedin.com/company/scm-messe-event-marketing-gmbh,"SCM bietet Dienstleistungen in den Bereichen Tagungs- und Messemanagement an. Dazu gehören die Konzeption, die Durchführung sowie die Betreuung von kundenspezifischen Fachtagungen, Kongressen, Messen und Veranstaltungen jeglicher Art im In- und Ausland.",Self Owned,,11-50 employees,"Konferenzen, Sustainability, Digitalisierung, Tagungen, Marketing, Organisation, Events, Veranstaltungen, Nachhaltigkeit, Messen, Erneuerbare Energien, Umwelttechnologien, Messeagentur, and Kongresse",0,,,,"Marketing, Events,",B2B
Data Screen,,Moscow,,Russia,"Moscow, Moscow, Russian Federation",https://data-screen.com/,3,1,2016,Information Technology and Services,https://www.linkedin.com/company/data-screen,"Data Screen is the only sales experience management solution that combines commercial data management, live-time sales monitoring, embedded business intelligence and flexible reporting tool into a single, unified platform.",Privately Held,,51-200 employees,"it, digital, sales experience management",300000,,,,"Video, Analytics, Data Visualization, Music Streaming, Film, Music Label, EBooks, SaaS, , Video on Demand",B2B
bobbil.com,,,,Ireland,Ireland,http://www.bobbil.com,0,0,2013,Internet,https://www.linkedin.com/company/bobbil,"bobbil.com one of the top B2B software trading platforms.

More and more businesses are using bobbil.com to research their next software purchase:
-find new software solutions
-track market changes
-and see what real users think.

Join the growing number of companies listing their software products on bobbil.com
It's free to register your company, join today and avail of our great introductory rates on product pages.",Public Company,,2-10 employees,"enterprise software marketplace, digital software market, small and medium business software, source business software, business software marketing, business to business software marketing, route to market for software companies",0,"Angular, AngularJS, Mixpanel",,,"Internet, Software, SaaS,",B2B
Suavei,,,,,"Las Vegas, Nevada, US",https://www.suavei.com,8,174,2016,Computer & Network Security,https://www.linkedin.com/company/suavei-inc,"The rapid growth of internet-connected wireless devices (i.e. IoT devices) is leading to increased exposure of corporate networks to cyber-attack through device vulnerabilities.  Many new IoT devices attached to networks lack security capabilities.  In addition, scanning IoT devices for threats is very manual, costly and complex with incumbent options.   As a result, nearly half of businesses are unaware of what devices are connected to their networks or when they suffer costly breaches.  

Founded in 2016 by cybersecurity veterans, Suavei has deployed the only self-configuring threat management solution available for wirelessly connected devices.  Suavei’s SaaS-based architecture uses machine learning algorithms from day one to dynamically automate both device identification and ongoing scans in different corporate, industrial, and remote environments. 

The Suavei leadership team brings significant track records in cybersecurity, wireless, and software development to the company which includes tenures at Tenable, Qualys, IBM, McAfee, AT&T, Quanta Services, & General Dynamics.

Suavei is an EvoNexus Portfolio Company, nominee for the Telecom Council's 2019 Most Disruptive Technology SPIFFY Award, 2019 Finalist in Pepperdine's Most Fundable Companys Program, & 2019 Finalist for the John G. Watson Quick Pitch Award sponsored by Tech Coast Angels, San Diego Venture Group, & Cox Business.",Privately Held,,2-10 employees,"Vulnerability Management, Configuration Auditing, Vulnerability Scanning, Vulnerability Auditing, IoT, Blockchain, Deep Learning, Cybersecurity, Threat Detection, IoTSecurity, IoTCybersecurity, Machine Learning, AI, Artificial Intelligence, Intelligent Threat Management, MSO, MSSP, MSP, Penetration Testing, Regulatory Complience, Mobile Operator",158000,"HubSpot, Eventbrite",,,"Information Technology, Cyber Security, Artificial Intelligence, Enterprise Software, Blockchain, Wireless, SaaS, , Machine Learning, Network Security",B2B
LaunchLeap,,Montreal,Quebec,Canada,Montréal,http://launchleap.com,2,152,2014,Internet,https://www.linkedin.com/company/launchleap,"Featured by eMarketer, Adweek and Business Insider, LaunchLeap allows innovative exchanges between brands and consumers. We provide a platform to gain insights into industry trends, interact directly with customers, and innovate your products or services in real time in order to increase your sales.

By creating interactive and visual feedback campaigns, you can benefit from an increased participation rate of up to 400% compared to traditional survey platforms. LaunchLeap allows you to ask questions, generate new and creative ideas, and engage in conversations with clients. Put simply, we combine the ease of running a survey with the benefits of holding a focus group and generating a following!


contact@launchleap.com",Privately Held,,2-10 employees,"Insight, Product Launches, Research, Branding, Feedback, Campaigns, Marketing, Interactive, Creativity, Ideas, Voice of the Customer, Social, Co-creation, Survey, Panel, Millenials, Communcation, Customer engagment, Product-market fit, Social feedback",250000,"React, Sendgrid",,,"Internet, Advertising, Brand Marketing, E-Commerce, Crowdsourcing, Product Design, , Market Research, Collaboration",B2B
Cavalcante Ramos Advogados,,Rio de Janeiro,State of Rio de Janeiro,Brazil,"Rio de Janeiro, Rio de Janeiro",http://www.cavalcanteramos.adv.br,199,5666,2004,Legal Services,https://www.linkedin.com/company/cavalcante-ramos-advogados,"Com atuação em todo o território nacional, Cavalcante Ramos Advogados está sediado no principal eixo empresarial da cidade do Rio de Janeiro, Av. Rio Branco nº 39 - 9º, 10º, 20º e 21º andares, região que mais recebe investimentos de infraestrutura, haja vista a realização de vultosos eventos internacionais, os quais serão sediados no Brasil. 

O Escritório ocupa quatro andares especialmente modernizados para o desenvolvimento de suas atividades. Mantém, ainda, modernos auditórios, onde são oferecidos periodicamente treinamentos destinados ao aperfeiçoamento de sua equipe.

Cavalcante Ramos dispõe de estrutura tecnológica de ponta alicerçada em maciços investimentos em governança de TI, plano de continuidade de negócios, segurança na informação, como também alta disponibilidade em hardwares e softwares.",Privately Held,,201-500 employees,Escritório Abrangente com atuação em todo o território nacional,0,,,,"Consumer, Legal Tech, , Legal,",B2B B2C
tilebathkitchen,,Mumbai,Maharashtra,India,"Mumbai, Maharashtra, India",http://www.tilebathkitchen.com,0,14,2017,Building Materials,https://www.linkedin.com/company/tilebathkitchen,"TileBathKitchen offers a world of choice, so that one can get exactly what one identify with. Why settle for less, when everything one want is available under one roof!

Our team consists of young, dynamic and excited professionals with an eye for quality. We strive to bring a table of choices from across the world and ideas that will help build one's unique expressions. We share the dream of perfect space and will ease the process of making it a reality.",Partnership,,11-50 employees,,0,"Magento, Tawk.to",,,"E-Commerce, ,",B2B B2C
i-4business EMEA,,Farnham,England,United Kingdom,"Farnham, England",http://www.i4b.com,13,603,1996,Marketing and Advertising,https://www.linkedin.com/company/i-4business,"i-4business from ProActive Marketing is a live, on-line resource covering EVERY key decision maker within EVERY enterprise organisation. Quality and accuracy are guaranteed, as is complete coverage of the enterprise sector.

The real-time, query engine enables you to precisely target subsets of the database and instantly download to drive individual campaigns or to integrate with your in-house/corporate database.
This is available for a low, fixed, monthly fee that includes unlimited usage – there are no usage-related or volume-dependent fees nor any additional data licence costs. 

The service covers the following countries/regions:

UK
Republic of Ireland
DACH (Germany, Austria, Switzerland)
Benelux (Netherlands, Belgium, Luxembourg)
Nordics (Denmark, Finland, Norway, Sweden)
Spain
France
Italy
Middle East (Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, UAE)
South Africa

Contact support@i4b.com or 01252 367 400 for further information.
Twitter @_i4b_",Privately Held,,11-50 employees,"Data Management, Marketing, Marketing Data, Sales Intelligence, Outbound Marketing, Data Matching, EMEA Specialists, Quality EMEA Data, SFDC Integration, and CRM Integration",0,"Salesforce, Tawk.to, LinkedIn Ads",,,"Advertising, Marketing, Sales, , Business Intelligence",B2B
ConCoche,,Madrid,Community of Madrid,Spain,"Madrid, Comunidad de Madrid, Spain",https://concoche.com,0,13,2015,Automotive,https://www.linkedin.com/company/concoche,"ConCoche.com es la primera web en España que permite a particulares comprar o vender coches de ocasión de forma fácil, segura, eficiente y 100% online. Con un sistema innovador y gracias a la tecnología cambiamos el proceso de principio a fin automatizando y digitalizando el sistema de compraventa de coches de ocasión al mismo tiempo que eliminamos los sobrecostes del sector (infraestructura, stockaje y comerciales) para transferir estos ahorros a los usuarios y que vendedores vendan por más y compradores compren por menos.
------------------------------------------------------------------------------------------------------------------------------------------------------
ConCoche.com is the first website in Spain that allows individuals to buy or sell used cars  in a easy, safe and efficient way and 100% online. With an innovative system and thanks to technology we change the process from beginning to end automating and digitalizing the trading system used cars while we eliminate the extra costs of the sector (infrastructure, stockaje and commercial) to transfer these savings to users so the vendor sell for more and the buyer purchase for less",Sole Proprietorship,,2-10 employees,"coches de ocasión, vehículos, automoción, compraventa",0,,,,"Automotive, E-Commerce,",B2C
NA---,,Thane,Maharashtra,India,"Thane, IN",http://www.subbecho.com,5,52,2017,Information Technology & Services,https://www.linkedin.com/company/none121,NA,Privately Held,,2-10 employees,"Brand Promotions, Online Marketplace, Advertisment, Business Management and Consulting, and sales & marketing, Virtual BDM",0,"Google Cloud, Zendesk Chat, Zoho CRM, Google Cloud DNS",,,"Internet, Information Technology, Analytics, E-Commerce,",B2B
ViaEurope,,Rozenburg,North Holland,Netherlands,"Rozenburg, NH",http://www.viaeurope.com,32,2167,2014,Logistics and Supply Chain,https://www.linkedin.com/company/viaeurope,"ViaEurope has re-invented e-Logistics and Customs clearance making Global e-commerce to Europe easy and hassle free. 

Customs clearing and processing over 2 million parcels, both B2C and FBA, a month, ViaEurope has become the leading crossborder e-commerce logistics provider in Europe.

ViaEurope is present in Shenzhen, Shanghai and Amsterdam Schiphol airport, where the e-HUB is located.

Did you know that in 2018 European e-commerce is worth 602 billion euros? Selling your products
onto this ever growing market has never been more interesting.

That being said, this still remains a challenge for global cross border e-commerce players due to strict rules and heavy regulations in place. So how do we solve this? Well, at ViaEurope we believe the solution lies in technology, big data and
sophisticated analytics.

Because we have automated the back-end processes including API connections, airport handling,
Customs clearance and last mile delivery, our platform can seamlessly crunch a huge amount of data, ensuring fast delivery and reducing costs and risks.

Where many see customs clearance and last mile delivery as a concern or risk, ViaEurope, as a tech
driven start-up sees it as an opportunity. Unlike traditional companies, who Customs clear each
shipment, ViaEurope’s technology clears and processes each individual parcel, avoiding retention
risks and long delays.

Thanks to our big data, sophisticated analytics and verification tools we take compliancy very seriously, something we also expect from our partners. Through this collaborative approach we take our Trusted e-Commerce Lane to the next level 

Supporting the ViaEurope technology is our fully automated bonded e-HUB which is situated at Amsterdam Schiphol airport and is 100% dedicated to e-commerce.

We believe that it is not the biggest companies that perform the best, nor the strongest, it is those
who dare to embrace change in a fast moving digital world.

Welcome to ViaEurope!",Privately Held,,11-50 employees,"courier, logistics, distribution, e-commerce, customs clearance, fba, and b2c",0,"New Relic, YouTube, Zendesk",,,"E-Commerce, Customer Service,",B2C
b2bmarkt.com,,Dubai,Dubai,United Arab Emirates,"Downtown Dubai, Dubai,, United Arab Emirates",http://www.b2bmarkt.com,0,8,2013,Business Supplies and Equipment,https://www.linkedin.com/company/b2bmarkt-com,"A B2B marketplace that connects businesses locally in the U.A.E. Find the right suppliers , products or services & B2bmarkt.com helps Sellers to find Buyers for their products and services to accelerate their Business.

Our Online Business to Business Portal B2bmarkt.com Features are

1. Sell unlimited products and services
We understand that you cannot limit your product & service offers just because your online presence limits you. This is why it is critical that you have a complete online profile that matches your offline profile. Therefore, we have designed our portal to post & sell unlimited products and services, even while you are offline!

2. Add departments & representatives
Organization & structure are very important for any successful business. But why do you have to compromise on either when you take your business online? With our proprietary technology, you can now add number of departments & representatives to your company’s account, & assign roles to each department /representative.

3. Multiple users
You can now have multiple users in a company account! You can also map the users to products and services they handle, meaning you don’t have to dedicate additional resources just because you have an online presence. This also ensures that your company has multiple contact points & outreach in the business market.

4. Local and regional business market visibility
A large portion of potential customers look for businesses that are locally or regionally accessible. Hence, we have devised a structured search that makes your company profile visible to the potential customer & driving sales leads.

5. Buy easy
Buyers can now find products and services, and the right suppliers they want, with the click of a button! With our portal, you can now post your purchase requirement once and select the type of supplier you are looking for. Our proprietary matching algorithm will then find the best match and send quotes from the suppliers instantly!",Public Company,,2-10 employees,,0,,,,"Internet, Marketing, E-Commerce, Small and Medium Businesses,",B2B
Flexbooth,,,,,"Irvine, California",http://flexbooth.com,2,39,2013,"Health, Wellness and Fitness",https://www.linkedin.com/company/flexbooth,"The greatest moments in fitness history were not remembered for their numbers, but by the photographs that captured them. While there are numerous wearable fitness devices that can tell a story by numbers, the true embodiment of success has been historically captured by a camera. The familiar phrase ""A picture is worth a thousand words"" continues to ring true in today's age of social media. Introducing Flexbooth: The world's first full-body photo booth for gyms. We develop photo booths for gym members to track fitness progress. Each of our booths contains a scale, DSLR camera, and touchscreen. Walk in the Flexbooth after your workout, record your weight, take your 3 angled pictures, and have them uploaded and organized all in your online Flexbooth profile, for free. Users are able to share their success story and fitness progress through our easy, integrated media downloading and sharing platform. We are exploring 3D scanning technology to compute body fat percentage and heart rate monitoring for more complex applications. Flexbooth aims to embrace and support all body types and workout regimens, for whatever your endeavors may be. We want to create a worldwide, connected community of Flexbooth members who are united in achieving their fitness goals. Coming soon, to a gym near you.",Privately Held,,2-10 employees,"Photography, Wellness, Health, Technology, Fitness, Social Media, Self-Empowerment, Cloud Data",110000,"Nodejs, Expressjs",,,"Software, Social Media, Photography, Photo Sharing, Fitness, , Personal Health",B2B
Boomtown Accelerators,,Boulder,Colorado,United States,"Boulder, CO",http://www.boomtownaccelerators.com,86,3379,2013,Management Consulting,https://www.linkedin.com/company/boomtownaccelerators,"Boomtown Accelerators support great people in building great companies. Our bespoke accelerator programs help startups turn ideas into profitable, scalable businesses.",Privately Held,,11-50 employees,"Startups, Venture Capital, Media, Corporate Strategy, Innovation, Innovation Strategy, Corporate Innovation, Health Tech, External Innovation, Innovation Platforms, Transformational Innovation",0,HubSpot,,2020 HIMSS Global Conference & Exhibition,"Internet, Mobile, Advertising, Finance, Health Care, Internet of Things, Network Hardware, SaaS,",B2B
Komeeda,,New York,New York,United States,New York,http://www.komeeda.co,1,62,2015,Restaurants,https://www.linkedin.com/company/komeeda,"Komeeda is a direct to consumer marketplace for restaurants and chefs to connect with new customers n

Supporting local and small food hospitality brands to develop and grow their Digital Real Estate to thrive in the New Experience Economy.",Privately Held,,2-10 employees,"Marketplace, Chef, Restaurants, Food Services, Hospitality Tech, Foodie Events, and Restaurant Tech, Consumer Dining",40000,"Google Cloud, HubSpot, Google Cloud DNS, Zoom",,,"Mobile, Marketplace, Social Media, Restaurants, Food and Beverage, Hospitality, Small and Medium Businesses, Social Impact, Social Entrepreneurship, Communities,",B2C
Peas ApS,,,,,"ASSENS, Ãrhus, Denmark",http://www.companybooknetworking.com/peas-aps,0,3,,Farming,https://www.linkedin.com/company/peas-aps,"Peas ApS is a farming company based out of Middelfartvej 105, ASSENS, Ãrhus, Denmark.",,,,,0,"Amazon Cloudfront, Amazon Web Services, Microsoft ASP.NET, Sendgrid",Chief Martec - Commerce & Sales,,"Software, Social Media, , Lead Generation, Collaboration",B2B
Amsterdam Web Agency,,,,Unknown,,http://www.amsterdamwebagency.com,0,0,2012,Internet,https://www.linkedin.com/company/vivid-web-systems,"Developing customized web-applications for businesses. Founded in 2012 as a result of a school project. Currently not very active and in the process of reorganization. A new line of products and services are also being developed. 2014 will be an exciting year, stay close!",Privately Held,,0-1 employees,,0,,,,"Internet, Web Development, Enterprise Software,",B2B
ExpandIT,,Toronto,Ontario,Canada,"Toronto, Ontario",http://www.expandit.com,48,1372,1998,Computer Software,https://www.linkedin.com/company/expandit-solutions-as,"ExpandIT creates a strong connection between your processes and Dynamics AX and NAV, harnessing information from the back office out to the field and back.
We put your admin systems to work for the people who count on it the most.

Optimizing operations:
We help you get the right people to the right place in time with the part and equipment to get the job done, while at the same time eliminating paperwork, redundant reporting and manual administrative work.

We are: 
Specialized in Service Management solution, B2B eCommerce, Dynamics NAV Utilities. And all our solutions is citified Microsoft Dynamics ISV.

ExpandIT was founded in 1998, has more than 55 team members in Europe and North America, a worldwide partner network and a portfolio of software designed for Microsoft Dynamics AX/NAV/365.",Privately Held,,51-200 employees," eCommerce, Mobile Service Management, Microsoft Dynamics ISV, and Dynamics NAV Utilities",0,Constant Contact,,,"Software,",B2B
AGK Nordic A/S,,Fårup,,Denmark,"Fårup, Danmark",http://www.agknordic.dk,15,218,,Wholesale,https://www.linkedin.com/company/agknordic,"AGK Nordic blev officielt grundlagt i 2003 i Viborg. Firmaet har siden da vækstet år efter år, og i dag beskæftiger firmaet 10 mand som sidder på AGK’s hovedekontor i Fårup ved Randers. Derudover har firmaet et kontor i Shenzhen i Kina, der også beskæftiger 10 mand.

AGK arbejder i dag med kunder i hele Europa, men vores største forretningsområde er de danske detailvirksomheder. Gennem vores store netværk af professionelle BSCI leverandører, som vi har samarbejdet med i mange år, er vores mission at være detailkædernes primære valg, når der skal vælges leverandør.",Public Company,,11-50 employees,,0,,,,", Wholesale, Hardware",B2B
Nile Delivery,,Addison,Texas,United States,"Addison, Texas, United States",http://www.niledeliveryapp.com,0,9,2016,Logistics and Supply Chain,https://www.linkedin.com/company/nile-delivery,The on-call delivery app for your business. Making sure your business gets what it needs to Run Smoother.,Sole Proprietorship,,0-1 employees,"business2business delivery services, job site material drop and return, service industry deliveries, on-call delivery app, restaurant & bar food and drink resupply",75000,,,,"Construction, Delivery, Logistics,",B2B
